SITE,STATION,USE,CAUSE,11-DIG HUC,BASIN,priority
S TYGER RVR AT S-42-63,B-005,REC,FC,03050107010,BROAD,3
SOUTH TYGER RIVER AT S-42-242,B-005A,AL,BIO,03050107010,BROAD,2
TYGER RVR AT S-42-50 E. WOODRUFF,B-008,REC,FC,03050107050,BROAD,2
JIMMIES CK AT S-42-201 2 MI E OF WOODRUFF,B-019,REC,FC,03050107050,BROAD,2
FAIRFOREST CK AT US 221 S OF SPARTANBURG,B-020,REC,FC,03050107060,BROAD,2
,B-021,AL,ZN,,BROAD,1
,B-021,AL,BIO,,BROAD,1
N PACOLET RVR AT S-42-956 6.5 MI E LANDRUM,B-026,REC,FC,03050105155,BROAD,3
PACOLET RVR AT S-42-55 BL JCT OF N & S PACOLET R,B-028,REC,FC,03050105170,BROAD,3
DURBIN CK ON S-23-160 3 MI E OF SIMPSONVILLE,B-035,REC,FC,03050108010,BROAD,2
ENOREE RVR AT S-42-118 SW OF WOODRUFF,B-037,REC,FC,03050108010,BROAD,2
LICK CK AT S-42-118 1 1/4 MI SW WOODRUFF,B-038,REC,FC,03050108010,BROAD,2
BROAD RVR AT SC 18 4 MI NE GAFFNEY,B-042,REC,FC,03050105094,BROAD,2
,B-044,AL,CR,,BROAD,1
,B-044,AL,CU,,BROAD,1
,B-044,AL,ZN,,BROAD,1
BROAD RVR AT SC 72/215/121 3 MI E OF CARLISLE,B-046,REC,FC,03050106010,BROAD,3
"ENOREE RVR AT SC 72, 121, & US 176, 1 MI NE WHITMIRE",B-053,REC,FC,03050108020,BROAD,2
ENOREE RVR AT S-36-45 3.5 MI AB JCT WITH BROAD RVR,B-054,REC,FC,03050108050,BROAD,3
CHEROKEE CK AT US 29 3 MI E OF GAFFNEY,B-056,REC,FC,03050105110,BROAD,3
BUFFALO CK AT SC 5 1 MI W OF BLACKSBURG,B-057,AL,CU,03050105109,BROAD,2
IRENE CK AT S-11-307 2.5 MI W OF GAFFNEY,B-059,REC,FC,03050105130,BROAD,2
THICKETTY CK AT SC 211 2 MI AB JCT WITH BROAD RVR,B-062,REC,FC,03050105130,BROAD,2
MENG CK AT SC 49 2.5 MI E OF UNION,B-064,REC,FC,03050106030,BROAD,2
TOSCHS CK AT US 176 2 MI SW OF UNION,B-067A,REC,FC,03050107060,BROAD,2
TOSCHS CK AT RD TO SEWAGE PT OFF HWY S-44-92 SW OF UNION,B-067B,REC,FC,03050107060,BROAD,2
DUNCAN CK AT US 176 1.5 MI SE OF WHITMIRE,B-072,REC,FC,03050108043,BROAD,3
,B-074,AL,SED,,BROAD,1
,B-074,REC,FC,,BROAD,1
SANDY RVR AT SC 215 2.5 MI AB JCT WITH BROAD RVR,B-075,REC,FC,03050106040,BROAD,3
WINNSBORO BR BELOW PLANT OUTFALL,B-077,REC,FC,03050106080,BROAD,2
BROAD RIVER DIVERSION CANAL AT COLA WATER PLANT,B-080,AL,CU,03050106060,BROAD,2
CRANE CREEK AT US 321,B-081,AL,BIO,03050106060,BROAD,2
ROSS BR TO TURKEY CK AT SC 49 SW OF YORK,B-086,REC,FC,03050106020,BROAD,2
CANOE CK AT S-11-245 1/2 MI W OF BLACKSBURG,B-088,REC,FC,03050105094,BROAD,3
THICKETTY CREEK AT S-11-164,B-095,REC,FC,03050105130,BROAD,2
DURBIN CREEK AT SC 418,B-097,REC,FC,03050108010,BROAD,3
FURNACE CK AT S-11-50 6 MI E OF GAFFNEY,B-100,REC,FC,03050105094,BROAD,2
,B-102,AL,BIO,,BROAD,1
,B-102,AL,CR,,BROAD,1
,B-102,AL,CU,,BROAD,1
SPIVEY CK AT S-42-208 2.5 MI SSE OF LANDRUM,B-103,REC,FC,03050105160,BROAD,2
"BUFFALO CREEK AT S-11-213, 2.2 MI NNW OF BLACKSBURG",B-119,REC,FC,03050105109,BROAD,2
WINNSBORO BR AT US 321,B-123,REC,FC,03050106080,BROAD,2
"N PACOLET RVR AT S-42-978, 1 MI SE OF FINGERVILLE",B-126,REC,FC,03050105155,BROAD,3
LIMESTONE CK AT S-11-301,B-128,REC,FC,03050105130,BROAD,2
THICKETTY CK AT SC 18 8.3 MI S OF GAFFNEY,B-133,REC,FC,03050105130,BROAD,2
LITTLE RVR AT S-20-60 3.1 MI SW OF JENKINSVILLE,B-145,REC,FC,03050106070,BROAD,2
MIDDLE TYGER RVR AT SC 14 2 MI SSW GOWANSVILLE,B-148,REC,FC,03050107040,BROAD,2
"WARRIOR CK AT US 221, 8 MI NNE OF LAURENS",B-150,REC,FC,03050108030,BROAD,2
BULLOCK CK AT SC 97 4.8 MI S OF HICKORY GROVE,B-159,REC,FC,03050105142,BROAD,2
NORTH TYGER RVR AT US 221 7.6 MI NNE OF WOODRUFF,B-162,REC,FC,03050107030,BROAD,2
