TMDL TARGET DATE(S) ++,NOTE,BASIN,HUC,LOCATION,STATION,COUNTY,USE,CAUSE
2015,,BROAD,030501050805,BUFFALO CK AT SC 5 1 MI W OF BLACKSBURG,B-057,CHEROKEE,AL,CU
,,,,,,,,
2013,,BROAD,030501051002,LITTLE THICKETTY CREEK AT S-42-307 1.2 MI NE OF COWPENS,RS-04376,SPARTANBURG,AL,BIO
,,,,,,,,
2013,,BROAD,030501051003,"GILKEY CK AT S-11-231, 9 MI SE OF GAFFNEY",B-334,CHEROKEE,AL,BIO
,,,,,,,,
2015,,BROAD,030501051004,THICKETTY CK AT SC 211 2 MI AB JCT WITH BROAD RVR,B-062,CHEROKEE,AL,CU
,,,,,,,,
2016,,BROAD,030501051101,CLARK FORK INTO CRAWFORD LK ON UN# RD NEAR SC 161 & 705-KINGS MT,B-325,YORK,AL,BIO
,,,,,,,,
2020,,BROAD,030501051203,"N PACOLET RVR AT S-42-978, 1 MI SE OF FINGERVILLE",B-126,SPARTANBURG,AL,CU
2013,,BROAD,030501051203,OBED CREEK AT UNNUMBERED CHRISTOPHER ROAD OFF SC 11,RS-03514,SPARTANBURG,AL,BIO
,,,,,,,,
2013,,BROAD,030501051301,MOTLOW CRK. AT SR 888,B-790,SPARTANBURG,AL,BIO
,,,,,,,,
2013,,BROAD,030501051401,LAWSONS FK CK AT S-42-40 BL INMAN MILL EFF,B-221,SPARTANBURG,AL,BIO
2013,,BROAD,030501051401,MEADOW CRK. AT SR 56,B-531,SPARTANBURG,AL,BIO
,,,,,,,,
2013,,BROAD,030501051402,LAWSONS FORK CK AT S-42-108,BL-001,SPARTANBURG,AL,BIO
,,,,,,,,
2016,,BROAD,030501051502,LAKE BLALOCK AT US 221,RL-04461,SPARTANBURG,AL,CU
,,,,,,,,
2010,,BROAD,030501051504,POTTER BR ON RD 30 BL OUTFALL FROM HOUSING PROJ COWPENS,B-191,SPARTANBURG,AL,DO
2016,,BROAD,030501051504,"PACOLET RVR AT S-42-59, BEACON LIGHT ROAD IN CLIFTON",B-331,SPARTANBURG,AL,CU
,,,,,,,,
2013,,BROAD,030501051505,MILL CREEK AT SR 73,B-780,UNION,AL,BIO
,,,,,,,,
2018,,BROAD,030501051601,BROAD RVR AT SC 18 4 MI NE GAFFNEY,B-042,CHEROKEE,AL,CU
,,,,,,,,
2013,,BROAD,030501051602,CHEROKEE CREEK AT SC 329,B-679,CHEROKEE,AL,BIO
2014,,BROAD,030501051602,LAKE WELCHEL 2.7 M N OF GAFFNEY,RL-01029,CHEROKEE,AL,CHLA
2014,,BROAD,030501051602,LAKE WELCHEL 2.7 MI NE OF GAFFNEY LAUNCH FROM GAFFNEY PUBLIC WORKS BOAT LANDING,RL-03341,CHEROKEE,AL,PH
,,,,,,,,
2010,,BROAD,030501060102,ROSS BR TO TURKEY CK AT SC 49 SW OF YORK,B-086,YORK,AL,TURBIDITY
2014,,BROAD,030501060102,TURKEY CREEK AT S-46-41 5.3 MI SW YORK,RS-05562,YORK,AL,BIO
,,,,,,,,
2015,,BROAD,030501060105,"TURKEY CK AT SC 9, 14 MI NW OF CHESTER",B-136,CHESTER,AL,CU
,,,,,,,,
2015,,BROAD,030501060202,DRY FORK AT S-12-304 2 MI SW OF CHESTER,B-074,CHESTER,AL,BIO
2011,,BROAD,030501060202,MONTICELLO LAKE 1.7 MI NW OF MONTICELLO,RL-04370,FAIRFIELD,AL,PH
2011,,BROAD,030501060202,MONTICELLO LAKE 3.5 MI N OF JENKINSVILLE,RL-04374,FAIRFIELD,AL,PH
"2021, 2021, 2021",,BROAD,030501060202,LAKE AT CHESTER STATE PARK 0.8 MI SE OF ENTRANCE,RL-06438,CHESTER,AL,CHLA
"2021, 2021, 2021",,BROAD,030501060202,LAKE AT CHESTER STATE PARK 0.8 MI SE OF ENTRANCE,RL-06438,CHESTER,AL,PH
"2021, 2021, 2021",,BROAD,030501060202,LAKE AT CHESTER STATE PARK 0.8 MI SE OF ENTRANCE,RL-06438,CHESTER,AL,TURBIDITY
"2021, 2021",,BROAD,030501060202,CHESTER STATE PARK LAKE 2.5 MI SW OF CHESTER,RL-06468,CHESTER,AL,CHLA
"2021, 2021",,BROAD,030501060202,CHESTER STATE PARK LAKE 2.5 MI SW OF CHESTER,RL-06468,CHESTER,AL,TURBIDITY
2010,,BROAD,030501060302,MENG CK AT SC 49 2.5 MI E OF UNION,B-064,UNION,AL,PH
2017,,BROAD,030501060302,"BROWNS CK AT S-44-86, 8 MI E OF UNION",B-155,UNION,AL,CU
2010,,BROAD,030501060302,TRIB TO MENG CK AT CLVT ON S-44-384 3 MI E OF UNION,B-243,UNION,AL,PH
,,,,,,,,
2021,,BROAD,030501060303,LAKE JOHN D. LONG IN FOREBAY NEAR DAM,B-344,UNION,AL,PH
,,,,,,,,
2018,,BROAD,030501060305,BROAD RVR AT SC 72/215/121 3 MI E OF CARLISLE,B-046,CHESTER,AL,CU
,,,,,,,,
2015,,BROAD,030501060401,BEAVER CRK. AT SR 95,B-143,FAIRFIELD,AL,BIO
2013,,BROAD,030501060401,MCCLURES CREEK AT SC-215 6.7 MI SE OF CARLISLE,RS-04527,FAIRFIELD,AL,BIO
,,,,,,,,
2013,,BROAD,030501060402,HELLERS CRK. AT SR 97,B-151,NEWBERRY,AL,BIO
,,,,,,,,
2011,,BROAD,030501060403,MONTICELLO LK-LOWER IMPOUNDMENT BETWEEN LARGE ISLANDS,B-327,FAIRFIELD,AL,PH
,,,,,,,,
2015,,BROAD,030501060405,CANNON CREEK AT OXNER ROAD,B-831,NEWBERRY,AL,BIO
,,,,,,,,
2016,,BROAD,030501060406,PARR RESERVOIR IN FOREBAY NEAR DAM,B-345,NEWBERRY,AL,CU
2016,,BROAD,030501060406,"PARR RESERVOIR 4.8 KM N OF DAM, UPSTREAM MONTICELLO RESERVOIR",B-346,NEWBERRY,AL,TP
,,,,,,,,
2016,,BROAD,030501060504,WINNSBORO BR BELOW PLANT OUTFALL,B-077,FAIRFIELD,AL,CU
"2016, 2016",,BROAD,030501060504,"JACKSON CK AT S-20-54, 5 MI W OF WINNSBORO",B-102,FAIRFIELD,AL,CU
"2016, 2016",,BROAD,030501060504,"JACKSON CK AT S-20-54, 5 MI W OF WINNSBORO",B-102,FAIRFIELD,AL,ZN
2013,,BROAD,030501060701,CRIMS CRK. AT SC 213,B-800,NEWBERRY,AL,BIO
,,,,,,,,
2018,,BROAD,030501060703,"BROAD RVR AT SO. RR TRESTLE, 0.5 MI DS OF SC 213",B-236,FAIRFIELD,AL,CU
,,,,,,,,
2013,,BROAD,030501060707,CRANE CREEK AT US 321,B-081,RICHLAND,AL,BIO
2021,,BROAD,030501060707,CRANE CK AT S-40-43 UNDER I-20 - N COLA,B-316,RICHLAND,AL,DO
,,,,,,,,
2013,,BROAD,030501060708,SMITH BR AT N MAIN ST (US 21) IN COLA,B-280,RICHLAND,AL,BIO
2018,,BROAD,030501060708,BROAD RVR AT US 176 (BROAD RIVER RD) IN COLUMBIA,B-337,RICHLAND,AL,CU
,,,,,,,,
2015,,BROAD,030501070102,BEAVERDAM CRK. AT SC 357,B-784,SPARTANBURG,AL,BIO
,,,,,,,,
2016,,BROAD,030501070103,MIDDLE TYGER RVR AT S-42-64,B-014,SPARTANBURG,AL,CU
,,,,,,,,
2013,,BROAD,030501070201,N TYGER RVR AT US 29 7.2 MI W OF SPARTANBURG,B-219,SPARTANBURG,AL,BIO
,,,,,,,,
2016,,BROAD,030501070203,"NORTH TYGER RVR AT S-42-231, 11 MI S OF SPARTANBURG",B-018A,SPARTANBURG,AL,CU
2017,,BROAD,030501070203,UNNAMED TRIB TO TIMMS CREEKFIRST TRIB ENTERING TIMM CREEK DOWNSTREAM OF MONTGOMERY POND.,B-829,SPARTANBURG,AL,BIO
2017,,BROAD,030501070203,TIMM CREEK100 METERS UPSTREAM OF  FELT RD.,B-830,SPARTANBURG,AL,BIO
,,,,,,,,
2013,,BROAD,030501070303,SOUTH TYGER RIVER AT 293,B-005A,SPARTANBURG,AL,BIO
,,,,,,,,
2017,,BROAD,030501070305,"S TYGER RVR AT S-42-86, 5 MI NE OF WOODRUFF",B-332,SPARTANBURG,AL,CU
2016,,BROAD,030501070305,"UNNAMED TRIB TO SOUTH TYGER RIVER ROGERS MILL SUBDIVISION, DOWNSTREAM OF THE 2ND STORMWATER DISCHARGE.",B-833,SPARTANBURG,AL,BIO
,,,,,,,,
"2015, 2010",,BROAD,030501070401,TRIB TO FAIRFOREST CK 200 FT BL S-42-65,B-321,SPARTANBURG,AL,NI
"2015, 2010",,BROAD,030501070401,TRIB TO FAIRFOREST CK 200 FT BL S-42-65,B-321,SPARTANBURG,AL,PH
